Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/06/2016,	Time = 15:03,	
Latitude = 54 34.81  S,	Longitude = 000 00.21  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 124,	Wind Speed = 16.10
Dry Bulb Temp = -0.50,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
297.84,	1.6800
298.49,	1.6800
299.13,	1.6800
299.78,	1.6800
300.43,	1.6800
301.08,	1.6900
301.73,	1.6900
302.38,	1.6900
303.02,	1.6900
303.67,	1.6900
304.32,	1.6900
304.97,	1.6900
305.62,	1.6900
306.27,	1.6900
306.91,	1.6900
307.56,	1.6900
308.21,	1.6900
308.86,	1.6900
309.51,	1.6900
310.15,	1.6900
310.80,	1.7000
311.45,	1.7000
312.10,	1.6900
312.75,	1.7000
313.39,	1.7000
314.04,	1.7000
314.69,	1.7000
315.34,	1.7000
315.98,	1.7000
316.63,	1.7000
317.28,	1.7000
317.93,	1.7000
318.57,	1.7000
319.22,	1.7000
319.87,	1.7000
320.52,	1.7000
321.16,	1.7000
321.81,	1.7000
322.46,	1.7000
323.10,	1.7000
323.75,	1.7000
324.40,	1.7000
325.04,	1.7000
325.69,	1.7000
326.34,	1.7000
326.99,	1.7000
327.63,	1.7000
328.28,	1.7000
328.93,	1.7000
329.57,	1.7000
330.22,	1.7000
330.86,	1.7000
331.51,	1.7000
332.16,	1.7000
332.80,	1.7000
333.45,	1.7000
334.10,	1.7000
334.74,	1.7000
335.39,	1.7000
336.03,	1.7000
336.68,	1.7000
337.33,	1.7000
337.97,	1.7000
338.62,	1.7000
339.26,	1.7000
339.91,	1.7000
340.56,	1.7000
341.20,	1.7000
341.85,	1.7000
342.49,	1.7100
343.14,	1.7100
343.78,	1.7100
344.43,	1.7100
345.08,	1.7100
345.72,	1.7100
346.37,	1.7100
347.01,	1.7100
347.66,	1.7200
348.30,	1.7100
348.95,	1.7100
349.59,	1.7100
350.24,	1.7100
350.88,	1.7100
351.53,	1.7100
352.17,	1.7100
352.82,	1.7100
353.46,	1.7100
354.11,	1.7100
354.75,	1.7100
355.40,	1.7100
356.04,	1.7100
356.69,	1.7100
357.33,	1.7100
357.98,	1.7100
358.62,	1.7100
359.27,	1.7100
359.91,	1.7100
360.55,	1.7100
361.20,	1.7100
361.84,	1.7100
362.49,	1.7100
363.13,	1.7100
363.78,	1.7100
364.42,	1.7000
365.06,	1.7000
365.71,	1.7000
366.35,	1.7000
367.00,	1.7100
367.64,	1.7100
368.28,	1.7000
368.93,	1.7000
369.57,	1.7000
370.22,	1.7100
370.86,	1.7100
371.50,	1.7100
372.15,	1.7000
372.79,	1.7000
373.43,	1.7000
374.08,	1.7000
374.72,	1.7000
375.36,	1.7000
376.01,	1.7000
376.65,	1.7000
377.29,	1.7000
377.94,	1.7000
378.58,	1.7000
379.22,	1.7000
379.87,	1.7000
380.51,	1.7000
381.15,	1.7000
381.79,	1.7000
382.44,	1.7000
383.08,	1.7000
383.72,	1.7000
384.37,	1.7000
385.01,	1.7000
385.65,	1.7000
386.29,	1.6900
386.94,	1.7000
387.58,	1.7000
388.22,	1.7000
388.86,	1.7000
389.51,	1.7000
390.15,	1.7000
390.79,	1.7000
391.43,	1.7000
392.08,	1.6900
392.72,	1.6900
393.36,	1.7000
394.00,	1.6900
394.64,	1.6900
395.29,	1.6900
395.93,	1.6800
396.57,	1.6800
397.21,	1.6800
397.85,	1.6800
398.50,	1.6800
399.14,	1.6800
399.78,	1.6800
400.42,	1.6800
401.06,	1.6800
401.70,	1.6800
402.34,	1.6900
402.99,	1.6800
403.63,	1.6800
404.27,	1.6800
404.91,	1.6800
405.55,	1.6800
406.19,	1.6700
406.83,	1.6700
407.48,	1.6700
408.12,	1.6700
408.76,	1.6700
409.40,	1.6700
410.04,	1.6700
410.68,	1.6700
411.32,	1.6700
411.96,	1.6700
412.60,	1.6700
413.24,	1.6700
413.88,	1.6700
414.52,	1.6700
415.17,	1.6700
415.81,	1.6700
416.45,	1.6700
417.09,	1.6700
417.73,	1.6700
418.37,	1.6700
419.01,	1.6700
419.65,	1.6700
420.29,	1.6700
420.93,	1.6700
421.57,	1.6700
422.21,	1.6700
422.85,	1.6700
423.49,	1.6700
424.13,	1.6700
424.77,	1.6700
425.41,	1.6700
426.05,	1.6700
426.69,	1.6700
427.33,	1.6700
427.97,	1.6700
428.61,	1.6700
429.25,	1.6700
429.89,	1.6700
430.53,	1.6700
431.17,	1.6700
431.80,	1.6600
432.44,	1.6700
433.08,	1.6700
433.72,	1.6700
434.36,	1.6600
435.00,	1.6600
435.64,	1.6600
436.28,	1.6700
436.92,	1.6600
437.56,	1.6600
438.20,	1.6700
438.84,	1.6600
439.47,	1.6700
440.11,	1.6600
440.75,	1.6600
441.39,	1.6600
442.03,	1.6600
442.67,	1.6600
443.31,	1.6600
443.95,	1.6600
444.58,	1.6600
445.22,	1.6600
445.86,	1.6600
446.50,	1.6600
447.14,	1.6600
447.78,	1.6600
448.41,	1.6600
449.05,	1.6600
449.69,	1.6600
450.33,	1.6600
450.97,	1.6600
451.60,	1.6600
452.24,	1.6600
452.88,	1.6600
453.52,	1.6500
454.16,	1.6500
454.79,	1.6500
455.43,	1.6500
456.07,	1.6500
456.71,	1.6600
457.35,	1.6600
457.98,	1.6500
458.62,	1.6500
459.26,	1.6500
459.90,	1.6500
460.53,	1.6500
461.17,	1.6500
461.81,	1.6500
462.44,	1.6500
463.08,	1.6500
463.72,	1.6500
464.36,	1.6500
464.99,	1.6500
465.63,	1.6500
466.27,	1.6500
466.90,	1.6500
467.54,	1.6500
468.18,	1.6500
468.81,	1.6500
469.45,	1.6500
470.09,	1.6500
470.72,	1.6500
471.36,	1.6500
472.00,	1.6500
472.63,	1.6500
473.27,	1.6500
473.91,	1.6500
474.54,	1.6500
475.18,	1.6500
475.82,	1.6500
476.45,	1.6500
477.09,	1.6500
477.73,	1.6500
478.36,	1.6500
479.00,	1.6500
479.63,	1.6500
480.27,	1.6500
480.91,	1.6500
481.54,	1.6500
482.18,	1.6500
482.81,	1.6500
483.45,	1.6500
484.08,	1.6400
484.72,	1.6500
485.36,	1.6500
485.99,	1.6500
486.63,	1.6500
487.26,	1.6500
487.90,	1.6500
488.53,	1.6500
489.17,	1.6500
489.80,	1.6500
490.44,	1.6500
491.07,	1.6500
491.71,	1.6500
492.34,	1.6500
492.98,	1.6500
493.62,	1.6500
494.25,	1.6500
494.89,	1.6500
495.52,	1.6500
496.15,	1.6500
496.79,	1.6500
497.42,	1.6500
498.06,	1.6500
498.69,	1.6500
499.33,	1.6500
499.96,	1.6500
500.60,	1.6500
501.23,	1.6500
501.87,	1.6400
502.50,	1.6400
503.14,	1.6400
503.77,	1.6400
504.40,	1.6400
505.04,	1.6400
505.67,	1.6400
506.31,	1.6400
506.94,	1.6300
507.57,	1.6400
508.21,	1.6400
508.84,	1.6400
509.48,	1.6400
510.11,	1.6400
510.74,	1.6400
511.38,	1.6300
512.01,	1.6300
512.65,	1.6400
513.28,	1.6300
513.91,	1.6300
514.55,	1.6300
515.18,	1.6300
515.81,	1.6300
516.45,	1.6200
517.08,	1.6200
517.71,	1.6200
518.35,	1.6200
518.98,	1.6200
519.61,	1.6200
520.25,	1.6200
520.88,	1.6200
521.51,	1.6200
522.15,	1.6200
522.78,	1.6200
523.41,	1.6200
524.04,	1.6200
524.68,	1.6200
525.31,	1.6200
525.94,	1.6100
526.58,	1.6200
527.21,	1.6200
527.84,	1.6200
528.47,	1.6200
529.11,	1.6200
529.74,	1.6200
530.37,	1.6200
531.00,	1.6200
531.64,	1.6200
