Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/04/2016,	Time = 09:58,	
Latitude = 45 29.03  S,	Longitude = 060 06.79  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 301,	Wind Speed = 40.20
Dry Bulb Temp = 8.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
620.97,	2.9500
621.60,	2.9500
622.23,	2.9500
622.85,	2.9400
623.48,	2.9400
624.10,	2.9400
624.73,	2.9400
625.35,	2.9400
625.98,	2.9400
626.61,	2.9400
627.23,	2.9400
627.86,	2.9400
628.48,	2.9400
629.11,	2.9400
629.73,	2.9400
630.36,	2.9400
630.98,	2.9400
631.61,	2.9400
632.23,	2.9500
632.86,	2.9600
633.48,	2.9600
634.11,	2.9700
634.73,	2.9800
635.36,	2.9900
635.98,	2.9900
636.61,	2.9900
637.23,	2.9900
637.86,	2.9800
638.48,	2.9900
639.11,	2.9900
639.73,	2.9800
640.36,	2.9800
640.98,	2.9800
641.61,	2.9800
642.23,	2.9800
642.85,	2.9800
643.48,	2.9800
644.10,	2.9800
644.73,	2.9800
645.35,	2.9800
645.98,	2.9700
646.60,	2.9700
647.22,	2.9700
647.85,	2.9700
648.47,	2.9700
649.10,	2.9700
649.72,	2.9700
650.34,	2.9700
650.97,	2.9600
651.59,	2.9600
652.22,	2.9600
652.84,	2.9600
653.46,	2.9600
654.09,	2.9600
654.71,	2.9600
655.33,	2.9600
655.96,	2.9600
656.58,	2.9600
657.20,	2.9600
657.83,	2.9500
658.45,	2.9500
659.07,	2.9500
659.70,	2.9500
660.32,	2.9500
660.94,	2.9600
661.57,	2.9600
662.19,	2.9700
662.81,	2.9700
663.43,	2.9700
664.06,	2.9700
664.68,	2.9700
665.30,	2.9700
665.93,	2.9700
666.55,	2.9800
667.17,	2.9700
667.79,	2.9700
668.42,	2.9700
669.04,	2.9700
669.66,	2.9700
670.28,	2.9700
670.91,	2.9700
671.53,	2.9700
672.15,	2.9700
672.77,	2.9700
673.39,	2.9700
674.02,	2.9700
674.64,	2.9700
675.26,	2.9700
675.88,	2.9700
676.50,	2.9700
677.13,	2.9700
677.75,	2.9700
678.37,	2.9700
678.99,	2.9700
679.61,	2.9600
680.24,	2.9600
680.86,	2.9600
681.48,	2.9600
682.10,	2.9600
682.72,	2.9600
683.34,	2.9500
683.96,	2.9500
684.59,	2.9500
685.21,	2.9500
685.83,	2.9500
686.45,	2.9400
687.07,	2.9400
687.69,	2.9400
688.31,	2.9400
688.93,	2.9400
689.56,	2.9400
690.18,	2.9400
690.80,	2.9300
691.42,	2.9300
692.04,	2.9300
692.66,	2.9300
693.28,	2.9300
693.90,	2.9300
694.52,	2.9300
695.14,	2.9300
695.76,	2.9300
696.38,	2.9300
697.00,	2.9300
697.62,	2.9200
698.25,	2.9200
698.87,	2.9200
699.49,	2.9200
700.11,	2.9200
700.73,	2.9200
701.35,	2.9200
701.97,	2.9100
702.59,	2.9100
703.21,	2.9100
703.83,	2.9100
704.45,	2.9100
705.07,	2.9100
705.69,	2.9100
706.31,	2.9100
706.93,	2.9100
707.55,	2.9100
708.17,	2.9100
708.79,	2.9100
709.40,	2.9100
710.02,	2.9100
710.64,	2.9100
711.26,	2.9100
711.88,	2.9100
712.50,	2.9000
713.12,	2.9000
713.74,	2.9000
714.36,	2.9000
714.98,	2.9000
715.60,	2.9000
716.22,	2.9000
716.84,	2.9000
717.45,	2.9000
718.07,	2.9000
718.69,	2.9000
719.31,	2.9000
719.93,	2.9000
720.55,	2.9000
721.17,	2.9000
721.79,	2.9000
722.41,	2.8900
723.02,	2.8900
723.64,	2.8900
724.26,	2.8900
724.88,	2.8900
725.50,	2.8900
726.12,	2.8900
726.73,	2.8900
727.35,	2.8900
727.97,	2.8900
728.59,	2.8800
729.21,	2.8900
729.83,	2.8900
730.44,	2.8900
731.06,	2.8900
731.68,	2.8800
732.30,	2.8800
732.92,	2.8900
733.53,	2.8800
734.15,	2.8800
734.77,	2.8800
735.39,	2.8800
736.00,	2.8800
736.62,	2.8800
737.24,	2.8800
737.86,	2.8800
738.47,	2.8800
739.09,	2.8800
739.71,	2.8900
740.33,	2.8800
740.94,	2.8800
741.56,	2.8800
742.18,	2.8800
742.79,	2.8800
743.41,	2.8800
744.03,	2.8800
744.65,	2.8800
745.26,	2.8800
745.88,	2.8800
746.50,	2.8800
747.11,	2.8800
747.73,	2.8800
748.35,	2.8800
748.96,	2.8800
749.58,	2.8800
750.20,	2.8800
750.81,	2.8800
751.43,	2.8800
752.05,	2.8800
752.66,	2.8800
753.28,	2.8800
753.90,	2.8800
754.51,	2.8800
755.13,	2.8800
755.74,	2.8800
756.36,	2.8700
756.98,	2.8700
757.59,	2.8700
758.21,	2.8800
758.82,	2.8700
759.44,	2.8700
760.06,	2.8700
760.67,	2.8700
761.29,	2.8700
761.90,	2.8700
762.52,	2.8700
763.14,	2.8700
763.75,	2.8700
764.37,	2.8700
764.98,	2.8700
765.60,	2.8700
766.21,	2.8700
766.83,	2.8700
767.44,	2.8700
768.06,	2.8700
768.67,	2.8700
769.29,	2.8700
769.90,	2.8700
770.52,	2.8700
771.14,	2.8700
771.75,	2.8700
772.37,	2.8700
772.98,	2.8700
773.59,	2.8700
774.21,	2.8700
774.82,	2.8700
775.44,	2.8700
776.05,	2.8700
776.67,	2.8700
777.28,	2.8700
777.90,	2.8700
778.51,	2.8700
779.13,	2.8700
779.74,	2.8700
780.36,	2.8700
780.97,	2.8700
781.58,	2.8700
782.20,	2.8700
782.81,	2.8700
783.43,	2.8700
784.04,	2.8700
784.66,	2.8700
785.27,	2.8700
785.88,	2.8700
